,Unnamed: 0,object_id,MergedDegree
594,594,p:1536,"1,0,0,0,0"
595,595,p:1537,"1,0,0,0,0"
596,596,p:5911,"1,0,0,0,0"
597,597,p:9745,"1,0,0,0,0"
598,598,p:9745,"0,1,0,0,0"
599,599,p:9739,"1,0,0,0,0"
600,600,p:9740,"1,0,0,0,0"
601,601,p:9741,"1,0,0,0,0"
602,602,p:9741,"1,0,0,0,0"
603,603,p:9742,"1,0,0,0,0"
604,604,p:9744,"1,0,0,0,0"
605,605,p:9758,"0,1,0,0,0"
606,606,p:9758,"1,0,0,0,0"
607,607,p:9759,"1,0,0,0,0"
608,608,p:9759,"0,1,0,0,0"
609,609,p:9759,"0,1,0,0,0"
610,610,p:9759,"0,0,0,0,1"
611,611,p:4767,"1,0,0,0,0"
612,612,p:4768,"1,0,0,0,0"
613,613,p:4768,"0,1,0,0,0"
614,614,p:4768,"0,0,0,0,1"
615,615,p:4769,"1,0,0,0,0"
616,616,p:4769,"0,1,0,0,0"
617,617,p:9760,"1,0,0,0,0"
618,618,p:9760,"0,1,0,0,0"
619,619,p:9760,"0,1,0,0,0"
620,620,p:9761,"1,0,0,0,0"
621,621,p:567,"1,0,0,0,0"
622,622,p:2929,"1,0,0,0,0"
623,623,p:2929,"0,0,1,0,0"
624,624,p:9768,"1,0,0,0,0"
625,625,p:9768,"1,0,0,0,0"
626,626,p:9769,"0,1,0,0,0"
627,627,p:9769,"1,0,0,0,0"
628,628,p:9778,"1,0,0,0,0"
629,629,p:5147,"1,0,0,0,0"
630,630,p:9785,"1,0,0,0,0"
631,631,p:9785,"0,1,0,0,0"
632,632,p:9788,"1,0,0,0,0"
633,633,p:9794,"0,1,0,0,0"
634,634,p:9794,"1,0,0,0,0"
635,635,p:9793,"0,1,0,0,0"
636,636,p:9793,"1,0,0,0,0"
637,637,p:9802,"1,0,0,0,0"
638,638,p:9803,"0,1,0,0,0"
639,639,p:9803,"1,0,0,0,0"
640,640,p:9804,"1,0,0,0,0"
641,641,p:1205,"0,1,0,0,0"
642,642,p:1205,"1,0,0,0,0"
643,643,p:1206,"1,0,0,0,0"
644,644,p:1206,"0,1,0,0,0"
645,645,p:4006,"1,0,0,0,0"
646,646,p:9825,"1,0,0,0,0"
647,647,p:9826,"1,0,0,0,0"
648,648,p:9827,"1,0,0,0,0"
649,649,p:9255,"1,0,0,0,0"
650,650,p:9255,"0,1,0,0,0"
651,651,p:9874,"1,0,0,0,0"
652,652,p:9875,"1,0,0,0,0"
653,653,p:9875,"0,0,0,0,1"
654,654,p:9876,"1,0,0,0,0"
655,655,p:9876,"0,1,0,0,0"
656,656,p:9877,"1,0,0,0,0"
657,657,p:9877,"1,0,0,0,0"
658,658,p:9878,"0,1,0,0,0"
659,659,p:9878,"0,0,1,0,0"
660,660,p:9879,"0,1,0,0,0"
661,661,p:9879,"1,0,0,0,0"
662,662,p:9881,"1,0,0,0,0"
663,663,p:9881,"0,1,0,0,0"
